Permisionario,Bioenergético,Entidad federativa,Municipio,Latitud,Longitud,2° Desahogo,Respuesta info 1er sem 2024
"Geo Estratos, S.A. De C.V.",Biodiésel,Tamaulipas,Ciudad Madero,23.7369,-99.1411,,
Joel Nicolás Gallego Palma,Etanol Anhidro,Oaxaca,Tuxtepec,17.0732,-96.7266,,Remitieron información el 03 de octubre 
"Petro Oro, S.A. De C.V.",Biodiésel,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,09/05/2025,Remitió información el 30 de septiembre
"Alcoholera De Zapopan, S.A. De C.V.",Etanol Anhidro,Jalisco,Zapopan,20.6597,-103.3496,,Remitieron información el 24 de septiembre 
"Transportes Especializados Antonio De La Torre E Hijos, S.A. De C.V.",Etanol anhidro y Biodiésel,Estado de México,Ecatepec de Morelos,19.3266,-99.8961,,Remitió información el 19 de septiembre
"Ferrocarril Mexicano, S.A. De C.V.",Etanol anhidro y Biodiésel,Ciudad de México,Miguel Hidalgo,19.4326,-99.1332,30 de abril,Remitió información el 27 de septiembre
"Ferrosur, S.A. De C.V.",Etanol anhidro y Biodiésel,Ciudad de México,Miguel Hidalgo,19.4326,-99.1332,,Remitió información el 27 de septiembre
"Transportadora Atón, S.A De C.V.",Etanol anhidro ,Chihuahua,Ciudad Juarez,28.6353,-106.0889,15/05/2025,Remitieron información el 27 de septiembre 
"Instituto Nacional De Investigaciones Forestales, Agrícolas Y Pecuarias (Inifap)",Biodiésel,Ciudad de México,Coyoacan,19.4326,-99.1332,,Remitieron información el 27 de septiembre 
"Biofuels De México, S.A. De C.V.",Biodiésel,Ciudad de México,Benito Juárez,19.4326,-99.1332,,Sus 15 días vencen el 26 sept
"Destilados La Ideal, S.A. De C.V.",Biodiésel,Colima,Colima,19.2433,-103.725,,Sus 15 días vencen el 26 sept
Universidad Autónoma De Querétaro (Uaq),Biodiésel,Querétaro,Querétaro,20.5888,-100.3899,,Remitieron información el 12/09/2024 por correo
"Zajay, S.C. De R.L. De C.V.",Etanol,Veracruz de Ignacio de la Llave,Coatepec,,,,Remitieron información el 10/09/2024 por correo
"Soluciones Tecnológicas En Bioenergía, S.A. De C.V.",Biodiésel,Monterrey,Nuevo León,,,,Sus 15 días vencen el 26 sept
Abelardo Hernández Núñez,Biodiésel,Oaxaca,San Jacinto Amilpas,17.0732,-96.7266,,Sus 15 días vencen el 27 sept
"Planta De Biodiésel Yaotec, S.C. De P. De R.L. De C.V.",Biodiésel,Ciudad de México,Benito Juárez,19.4326,-99.1332,,Sus 15 días vencen el 26 sept
"Energías Girón, S.A. De C.V.",Biodiésel,Yucatán,Merida,20.9674,-89.5926,28 de abril,Remitieron información el 04/10/2024 por DHL
"Tecnologías Disruptivas, S.A.P.I. De C.V.",Biodiésel,Ciudad de México,Lomas de Circunvalación,19.4326,-99.1332,,Sus 15 días vencen el 26 sept
"Recoreusecompany, S.A De C.V.",Biodiésel,Aguscalientes,Aguscalientes,,,,Sus 15 días vencen el 27 sept
"Uga Soluciones Ambientales, S.A. De C.V.",Biodiésel,Quintana Roo,Cancún Benito Juárez,18.4931,-88.2962,,Remitieron información el 27 de septiembre 
Rafael Solano Ramírez,Biodiésel,Morelos,Yautepec,18.9242,-99.2216,,Sus 15 días vencen el 26 sept
Centro Mexicano Para La Producción Más Limpia Del Instituto Politécnico Nacional (Cmp+L),Biodiésel,Ciudad de México,Gustavo A. Madero,19.4326,-99.1332,,Sus 15 días vencen el 27 sept
Carlos Ignacio Aguilar Solís,Biodiésel,Zacatecas,Fresnillo,22.7709,-102.5832,,
"Aceites Especiales Th, S.A. De C.V.",Biomasa,Ciudad de México,Miguel Hidalgo,19.4326,-99.1332,,Remitió información el 26 de septiembre
Abelardo Hernández Núñez,Etanol Anhidro ,Oaxaca,Oaxaca de Juarez,17.0732,-96.7266,,Sus 15 días vencen el 27 sept
"Fideicomiso Para La Construcción Y Operación
De La Central De Abasto De La Ciudad De México (Ficeda)",Biodiésel,Ciudad de México,Iztapalapa,19.4326,-99.1332,,Remitieron información el 27 de septiembre 
Diageo Mexico Comercializadora S.A. De C.V.,Biomasa,Jalisco,Zapopan,20.6597,-103.3496,,Remitió información el 20 de septiembre
Eco Servicios Para Gas,,Monterrey,Nuevo León,,,,
"Destiladora De Alcoholes Y Mieles, S.A. De C.V.",Etanol anhidro ,Veracruz de Ignacio de la Llave,Veracruz,,,,
"Destiladora Del Valle, S.A. De C.V.",Etanol anhidro ,Veracruz de Ignacio de la Llave,Orizaba,,,,
"Destilmex, S.A. De C.V.",Etanol anhidro,Sinaloa,Culiacán,24.8091,-107.394,,
"Avance Regional Agroindustrial, S.A. De C.V.",Etanol anhidro,Sinaloa,Culiacán,24.8091,-107.394,,
"Cía. Azucarera La Fe, S.A. De C.V.",Etanol anhidro,Sinaloa,Culiacán,24.8091,-107.394,,Remitieron su informe el 23 de septiembre
"Bioenergéticos Mexicanos, S.A.P.I. De C.V.",Etanol anhidro,Tamaulipas,Ciudad Valle hermoso,23.7369,-99.1411,,
"Biocombustibles Internacionales, S.A. De C.V.",Biodiésel,Monterrey,Nuevo León,,,,
"Blue Fuel, S.A.P.I. De C.V.",Etanol anhidro,Guadalajara,"Jalisco
",,,,
"Biofuels De México, S.A. De C.V.",Biodiésel,Ciudad de México,Benito Juárez,19.4326,-99.1332,22/04/2025,Sus 15 días vencen el 30 sept
"Destilados La Ideal, S.A. De C.V.",Etanol anhidro y Biodiésel,Colima,Colima,19.2433,-103.725,,
"Alcoholera De Zapopan, S.A. De C.V.",Etanol anhidro,Jalisco,Zapopan,20.6597,-103.3496,,Remitieron información el 24 de septiembre 
"Global Marketing Corporation, S.A. De C.V.",Etanol anhidro,Guanajuato,Irapuato,21.0181,-101.2583,,Sus 15 días vencen el 30 sept
"Ecoen, S.A. De C.V.",Biodiésel,Nuevo León,Apocada,25.6866,-100.3161,,
"Soluciones Tecnológicas En Bioenergía, S.A. De C.V.",Biodiésel,Ciudad de México,Colonia del Valle,19.4326,-99.1332,,
"Alianza De Proyectos Estratégicos, S.A De C.V.",Etanol anhidro,Veracruz de Ignacio de la Llave,Veracruz,,,29/05/2025,Remitieron información el 27 de septiembre 
"Soluciones En Ingeniería Naval, Marina Y Terrestre, S.A. De C.V.",etanol anhidro,Veracruz de Ignacio de la Llave,Alvarado,,,27/05/2025,Remitieron su información el 02/09/2024
"Biocombustibles Juanita, S.A.P.I. De C.V.",Etanol anhidro,Ciudad de México,Miguel Hidalgo,19.4326,-99.1332,,Sus 15 días vencen el 30 sept
"Biocombustibles Tomatlán, S.A.P.I. De C.V. ",Etanol anhidro,Ciudad de México,Miguel Hidalgo,19.4326,-99.1332,,Sus 15 días vencen el 30 sept
"Ingenio La Gloria, S.A.",Etanol anhidro,Ciudad de México,Cuajimalpa de Morelos,19.4326,-99.1332,,Remitió información el 24 de sept
"Corp Oil Mexicana, S.A. De C.V.",Biodiésel,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,,Sus 15 días vencen el 30 sept
"M&L Enterprises, S. De R.L. De C.V.",Biodiésel,Querétaro,Santiago de Querétaro,20.5888,-100.3899,,Remitieron información el 27 de septiembre 
"Comercializadora Integral, J&B S.A. De C.V.",Biodiésel,Veracruz de Ignacio de la Llave,Veracruz,,,,Remitieron información el 24 de septiembre 
"Energía Girón, S.A. De C.V.",Biodiésel,Yucatán,Merida,20.9674,-89.5926,,Remitieron información el 04/10/2024 por DHL
"Axiona Soluciones Estratégicas, S.A. De R.L.",Etanol Anhidro,Veracruz de Ignacio de la Llave,Orizaba,,,,
"Mexican Commodities, S.A. De C.V.",Biodiésel,Ciudad de México,Tlalpan,19.4326,-99.1332,,Remitieron información el 30 de septiembre 
"Blue Fuel, S.A.P.I. De C.V.",Etanol anhidro,Guadalajara,"Jalisco
",,,,
"Biocombustibles Juanita, S.A.P.I. De C.V.",Etanol anhidro,Ciudad de México,Miguel Hidalgo,19.4326,-99.1332,,Sus 15 días vencen el 30 sept
"Biocombustibles Tomatlán, S.A.P.I. De C.V.",Etanol anhidro,Ciudad de México,Miguel Hidalgo,19.4326,-99.1332,,Sus 15 días vencen el 30 sept
"Fabricación De Alimentos Tenerife, S.A. De C.V.",Etanol anhidro,Veracruz de Ignacio de la Llave,Orizaba,,,,Remitieron información el 24 de septiembre 
"Alcoholera De Zapopan, S.A. De C.V.",Etanol Anhidro,Jalisco,Zapopan,20.6597,-103.3496,,Remitieron información el 24 de septiembre 
"Bioenergéticos Mexicanos, S.A.P.I.",Etanol Anhidro,Tamaulipas,Valle hermoso,23.7369,-99.1411,,
"Soluciones En Ingeniería Naval, Marina Y Terrestre, S.A. De C.V.",etanol anhidro ,Veracruz de Ignacio de la Llave,Alvarado,,,27/05/2025,Remitieron su información el 02/09/2024
Carlos García Vara,Biogás,Coahuila,Torreón,25.438,-100.9739,,Remitieron información el 24 de septiembre 
"Brimex Energy, S.A. De C.V.",Biogás,Ciudad de México,Cuauhtémoc,19.4326,-99.1332,15/04/2025,Remitieron informe el 20 de septiembre
